epoch,train_loss,val_dice_Cochlea_L,val_dice_Cochlea_R,val_dice_Parotid_L,val_dice_Parotid_R,val_mean_dice
0,0.1598,0.0,0.0,0.521,0.0,0.13
1,0.0143,0.0,0.0,0.677,0.565,0.31
2,0.0084,0.0,0.0,0.774,0.735,0.377
3,0.0066,0.005,0.0,0.789,0.742,0.384
4,0.006,0.023,0.0,0.768,0.768,0.39
5,0.0053,0.0,0.0,0.793,0.761,0.388
6,0.0048,0.528,0.0,0.785,0.729,0.511
7,0.0044,0.272,0.0,0.816,0.788,0.469
8,0.0041,0.088,0.0,0.803,0.78,0.418
9,0.0038,0.009,0.0,0.81,0.782,0.4
10,0.0037,0.44,0.0,0.805,0.74,0.496
11,0.0034,0.533,0.0,0.807,0.786,0.532
12,0.0032,0.516,0.0,0.8,0.776,0.523
13,0.003,0.471,0.0,0.813,0.797,0.52
14,0.0028,0.558,0.0,0.802,0.775,0.534
15,0.0027,0.492,0.003,0.805,0.78,0.52
16,0.0025,0.584,0.232,0.803,0.765,0.596
17,0.0024,0.628,0.328,0.796,0.777,0.632
18,0.0022,0.363,0.258,0.798,0.774,0.548
19,0.0021,0.64,0.575,0.801,0.788,0.701
20,0.002,0.616,0.497,0.804,0.784,0.675
21,0.0019,0.628,0.561,0.792,0.78,0.69
22,0.0018,0.629,0.53,0.799,0.779,0.684
23,0.0018,0.622,0.526,0.799,0.783,0.682
24,0.0017,0.641,0.594,0.795,0.771,0.7
25,0.0016,0.653,0.561,0.797,0.77,0.695
26,0.0016,0.642,0.568,0.797,0.776,0.695
27,0.0016,0.632,0.55,0.796,0.778,0.689
28,0.0015,0.638,0.57,0.795,0.774,0.694
29,0.0015,0.637,0.564,0.795,0.774,0.693
