epoch,train_loss,val_dice_Cochlea_L,val_dice_Cochlea_R,val_dice_Parotid_L,val_dice_Parotid_R,val_mean_dice
0,1.042,0.0,0.0,0.704,0.632,0.334
1,0.6001,0.0,0.0,0.672,0.757,0.357
2,0.2857,0.0,0.0,0.77,0.744,0.379
3,0.2698,0.0,0.0,0.692,0.683,0.344
4,0.2682,0.0,0.0,0.778,0.78,0.39
5,0.2582,0.0,0.0,0.786,0.766,0.388
6,0.2642,0.0,0.0,0.772,0.746,0.38
7,0.2571,0.0,0.0,0.816,0.8,0.404
8,0.2466,0.0,0.0,0.808,0.792,0.4
9,0.2372,0.0,0.0,0.767,0.767,0.384
10,0.2328,0.0,0.0,0.81,0.779,0.397
11,0.2339,0.0,0.0,0.789,0.779,0.392
12,0.2314,0.0,0.0,0.814,0.794,0.402
13,0.2292,0.0,0.0,0.823,0.799,0.406
14,0.2336,0.0,0.0,0.81,0.795,0.401
15,0.2245,0.0,0.0,0.813,0.796,0.402
16,0.226,0.0,0.0,0.802,0.792,0.399
17,0.2227,0.0,0.0,0.815,0.802,0.404
18,0.2281,0.0,0.0,0.812,0.804,0.404
19,0.2173,0.0,0.0,0.813,0.811,0.406
20,0.2165,0.0,0.0,0.816,0.806,0.405
21,0.2184,0.0,0.0,0.81,0.81,0.405
22,0.2158,0.0,0.0,0.814,0.8,0.404
23,0.2105,0.0,0.0,0.816,0.802,0.405
24,0.2132,0.0,0.0,0.814,0.796,0.402
25,0.2113,0.0,0.0,0.812,0.795,0.402
26,0.2008,0.0,0.0,0.814,0.799,0.403
27,0.2086,0.0,0.0,0.812,0.798,0.403
28,0.2097,0.0,0.0,0.812,0.799,0.403
29,0.204,0.0,0.0,0.811,0.8,0.403
