epoch,train_loss,val_dice_Cochlea_L,val_dice_Cochlea_R,val_dice_Parotid_L,val_dice_Parotid_R,val_mean_dice
0,0.7317,0.0,0.0,0.707,0.652,0.34
1,0.6419,0.0,0.0,0.722,0.739,0.365
2,0.6331,0.0,0.0,0.106,0.755,0.215
3,0.6209,0.001,0.0,0.747,0.568,0.329
4,0.6166,0.0,0.0,0.778,0.789,0.392
5,0.6121,0.007,0.0,0.789,0.783,0.395
6,0.4969,0.0,0.0,0.775,0.757,0.383
7,0.4288,0.0,0.0,0.789,0.778,0.392
8,0.4223,0.0,0.0,0.8,0.784,0.396
9,0.4114,0.0,0.0,0.701,0.704,0.351
10,0.4048,0.0,0.0,0.786,0.807,0.398
11,0.4044,0.0,0.0,0.798,0.801,0.4
12,0.3957,0.0,0.0,0.445,0.764,0.302
13,0.4098,0.0,0.0,0.791,0.785,0.394
14,0.4059,0.0,0.0,0.765,0.791,0.389
15,0.3956,0.0,0.0,0.779,0.799,0.395
16,0.4011,0.0,0.0,0.798,0.8,0.399
17,0.3928,0.0,0.0,0.805,0.806,0.403
18,0.3986,0.0,0.0,0.806,0.794,0.4
19,0.3885,0.0,0.0,0.796,0.798,0.398
20,0.3862,0.0,0.0,0.805,0.806,0.403
21,0.3897,0.0,0.0,0.802,0.805,0.402
22,0.3835,0.0,0.0,0.802,0.795,0.399
23,0.3797,0.0,0.0,0.75,0.791,0.385
24,0.3887,0.0,0.0,0.804,0.791,0.399
25,0.381,0.0,0.0,0.801,0.794,0.399
26,0.3789,0.0,0.0,0.804,0.792,0.399
27,0.3802,0.0,0.0,0.803,0.797,0.4
28,0.3791,0.0,0.0,0.802,0.795,0.399
29,0.378,0.0,0.0,0.801,0.796,0.399
