run,structure,dice,hd95_mm,hdmax_mm,sdice_1mm
ce,Cochlea_L,0.597,2.163,2.795,0.741
ce,Cochlea_R,0.655,1.932,2.79,0.822
ce,Parotid_L,0.777,6.936,68.785,0.487
ce,Parotid_R,0.809,5.362,99.309,0.551
compound,Cochlea_L,0.0,,,
compound,Cochlea_R,0.0,,,
compound,Parotid_L,0.817,5.316,25.009,0.564
compound,Parotid_R,0.81,8.145,19.573,0.569
compound_over6,Cochlea_L,0.0,,,
compound_over6,Cochlea_R,0.0,,,
compound_over6,Parotid_L,0.787,8.69,72.786,0.521
compound_over6,Parotid_R,0.787,6.123,23.269,0.514
dice,Cochlea_L,0.0,,,
dice,Cochlea_R,0.0,317.998,382.534,0.0
dice,Parotid_L,0.802,6.285,96.895,0.534
dice,Parotid_R,0.818,5.025,45.886,0.575
tversky,Cochlea_L,0.0,,,
tversky,Cochlea_R,0.0,315.217,382.534,0.0
tversky,Parotid_L,0.783,8.456,90.26,0.502
tversky,Parotid_R,0.809,5.409,12.206,0.558
